student_id,age,gender,gpa,previous_enrollment,hours_studied,parent_education_level,participated_in_extracurriculars,attendance_rate,socioeconomic_status,enrollment_status
ST4154,21,Female,2.14,Yes,39,Master's,No,83,Low,Yes
ST4155,18,Male,3.28,Yes,19,Master's,No,94,Low,No
ST4156,23,Female,2.05,No,29,Master's,Yes,93,Low,No
ST4157,18,Female,3.17,Yes,32,Master's,No,62,High,No
ST4158,17,Male,3.88,No,14,Bachelor's,No,96,Medium,No
ST4159,20,Male,3.15,Yes,21,Master's,No,99,Low,No
ST4160,23,Female,2.78,Yes,26,Master's,No,85,High,Yes
ST4161,17,Male,3.29,Yes,30,High School,No,82,Medium,No
ST4162,24,Male,2.92,No,29,Master's,No,98,High,Yes
ST4163,20,Female,3.09,Yes,21,Bachelor's,Yes,74,Medium,Yes
ST4164,18,Male,3.88,Yes,17,Bachelor's,No,63,High,Yes
ST4165,17,Male,2.77,Yes,24,Bachelor's,No,88,Medium,Yes
ST4166,24,Female,3.92,Yes,29,Bachelor's,No,81,Low,No
ST4167,23,Female,3.81,No,8,Master's,Yes,84,Medium,Yes
ST4168,23,Male,2.39,No,14,Master's,No,72,High,Yes
ST4169,22,Male,2.14,Yes,7,Bachelor's,Yes,77,High,No
ST4170,24,Female,2.2,No,22,Bachelor's,No,92,Medium,No
ST4171,21,Female,2.04,Yes,26,Master's,Yes,75,Low,No
ST4172,19,Female,2.19,Yes,38,Bachelor's,Yes,61,Low,Yes
ST4173,20,Female,3.37,Yes,12,High School,No,94,Medium,No
ST4174,24,Male,2.14,No,23,Bachelor's,No,93,Medium,No
ST4175,22,Female,2.64,No,10,Bachelor's,Yes,89,High,Yes
ST4176,19,Female,3.69,No,30,High School,No,72,Low,No
ST4177,19,Male,2.05,No,38,High School,Yes,72,Medium,No
ST4178,17,Female,3.63,No,10,Master's,Yes,77,Low,No
ST4179,19,Male,2.56,No,37,Master's,Yes,91,Medium,No
ST4180,21,Female,2.24,No,26,High School,Yes,91,Medium,Yes
ST4181,23,Female,3.39,No,25,High School,Yes,94,Low,No
ST4182,22,Female,3.26,No,10,Master's,No,98,Medium,No
ST4183,19,Male,3.75,Yes,10,Bachelor's,Yes,88,Medium,Yes
ST4184,17,Male,3.47,No,8,High School,Yes,88,High,No
ST4185,21,Female,3.61,No,34,Master's,No,75,Medium,Yes
ST4186,18,Male,2.56,No,15,Bachelor's,Yes,69,Medium,No
ST4187,23,Male,2.35,No,34,High School,No,89,Medium,Yes
ST4188,23,Male,3.5,No,35,Bachelor's,No,84,High,Yes
ST4189,22,Male,3.61,No,28,Master's,No,98,Low,Yes
ST4190,23,Male,3.98,No,13,High School,Yes,79,High,Yes
ST4191,19,Male,2.83,No,7,Bachelor's,Yes,64,High,No
ST4192,17,Female,2.74,No,35,High School,Yes,60,Low,Yes
ST4193,23,Female,3.55,No,28,Bachelor's,No,89,High,No
ST4194,23,Male,2.68,No,35,Master's,Yes,62,Low,Yes
ST4195,18,Female,3.86,Yes,10,Master's,No,73,High,Yes
ST4196,18,Female,3.72,Yes,6,High School,Yes,89,Low,Yes
ST4197,20,Female,2.86,No,24,Bachelor's,No,63,Medium,No
ST4198,21,Female,3.5,No,32,High School,Yes,77,High,Yes
ST4199,19,Male,3.51,Yes,15,High School,Yes,96,High,No
